==============================================================================================================
PB9_T1 — VOLATILITY STRENGTH (SMA-based Rolling Std) — FIXED THRESHOLD = 0.06
==============================================================================================================

Data Directory: /data/quant14/EBY
SMA Window: 20
Fixed Volatility Threshold: 0.06
Days Processed: 279 / 279

==============================================================================================================
SECTION A — Days where VOL_STRENGTH ≥ 0.06
==============================================================================================================
Day | Vol Hit @Index | Vol Value | Considered | Missed | Total | PB9_T1 Min | PB9_T1 Max
----|----------------|------------|-------------|--------|--------|-------------|-------------
  0 |           9591 |      0.066 |           6 |      1 |      7 |       99.50 |      100.47
  4 |           6886 |      0.060 |           1 |      0 |      1 |       99.85 |      100.30
 10 |           1488 |      0.092 |          10 |      1 |     11 |       98.72 |      100.40
 17 |           1578 |      0.064 |           2 |      0 |      2 |       99.70 |      100.25
 20 |             29 |      0.064 |          12 |      0 |     12 |       98.80 |      100.01
 22 |           1420 |      0.061 |          15 |      1 |     16 |       99.90 |      102.22
 29 |           7110 |      0.060 |           1 |      1 |      2 |       99.45 |      100.17
 31 |          10031 |      0.061 |           5 |      1 |      6 |       99.83 |      101.08
 38 |           2512 |      0.061 |           7 |      1 |      8 |       98.50 |      100.08
 57 |          18320 |      0.060 |           3 |      3 |      6 |       99.41 |      100.08
 58 |            156 |      0.072 |          12 |      0 |     12 |       99.33 |      100.29
 61 |            324 |      0.060 |          18 |      0 |     18 |       99.71 |      100.92
 68 |           1206 |      0.061 |           8 |      1 |      9 |       99.89 |      100.76
 72 |          12065 |      0.062 |           8 |      6 |     14 |       98.74 |      100.81
 89 |          20770 |      0.062 |           1 |      3 |      4 |       99.45 |      100.56
 95 |           6461 |      0.061 |           3 |      2 |      5 |       99.59 |      100.35
 98 |          15529 |      0.061 |           3 |      1 |      4 |       99.27 |      100.24
104 |             24 |      0.062 |         175 |      0 |    175 |       91.42 |      100.50
105 |          14071 |      0.061 |           4 |      1 |      5 |      100.00 |      100.91
108 |           1623 |      0.062 |           6 |      0 |      6 |       99.63 |      100.77
110 |            281 |      0.065 |          31 |      2 |     33 |       98.75 |      102.88
115 |           7745 |      0.066 |          10 |      8 |     18 |       98.20 |      100.12
119 |           2050 |      0.063 |           2 |      0 |      2 |       99.78 |      100.49
123 |          20486 |      0.061 |           0 |     11 |     11 |       98.36 |      100.07
127 |           9003 |      0.062 |           6 |      6 |     12 |       98.95 |      100.38
134 |          15284 |      0.062 |           8 |      5 |     13 |       99.59 |      100.96
135 |           1233 |      0.062 |          12 |      0 |     12 |       98.43 |      100.61
137 |           3003 |      0.061 |           9 |      1 |     10 |       99.68 |      101.26
138 |            131 |      0.060 |           5 |      1 |      6 |       99.45 |      100.71
143 |           7626 |      0.062 |           9 |      1 |     10 |       99.70 |      100.64
144 |           2844 |      0.061 |           5 |      0 |      5 |       99.62 |      100.22
150 |           1552 |      0.061 |           6 |      0 |      6 |       99.53 |      100.33
151 |           3060 |      0.061 |          13 |      1 |     14 |       99.31 |      100.45
153 |           3554 |      0.062 |           2 |      1 |      3 |       99.79 |      101.05
158 |           6547 |      0.061 |           8 |      3 |     11 |       99.13 |      100.60
162 |           3086 |      0.063 |          10 |      5 |     15 |       97.98 |      100.10
165 |             19 |      1.377 |          33 |      1 |     34 |       96.29 |      100.77
167 |            485 |      0.064 |           7 |      0 |      7 |       99.52 |      100.63
174 |           5887 |      0.062 |          15 |      4 |     19 |       98.76 |      100.63
182 |           6978 |      0.064 |          10 |      4 |     14 |       98.61 |      101.17
185 |           8961 |      0.061 |          12 |      4 |     16 |       98.43 |      100.12
192 |          10634 |      0.062 |           3 |      3 |      6 |       99.34 |      100.29
194 |          20705 |      0.064 |           1 |      8 |      9 |       99.10 |      100.60
207 |          11585 |      0.063 |           9 |      1 |     10 |       99.82 |      100.75
209 |           1353 |      0.064 |          24 |      0 |     24 |       99.14 |      101.58
218 |           1268 |      0.060 |           4 |      0 |      4 |       98.73 |      100.19
225 |           3421 |      0.062 |           3 |      1 |      4 |       99.22 |      100.02
228 |          15250 |      0.060 |           2 |      7 |      9 |       99.60 |      101.04
234 |          20658 |      0.061 |           2 |      7 |      9 |       99.66 |      100.90
235 |           3207 |      0.064 |           7 |      0 |      7 |       99.22 |      100.40
237 |          12910 |      0.061 |           2 |      5 |      7 |       99.66 |      100.68
239 |          15539 |      0.060 |           1 |      4 |      5 |       99.76 |      100.93
251 |          15638 |      0.062 |           4 |      4 |      8 |       99.84 |      100.85
252 |          11361 |      0.061 |           3 |      2 |      5 |       99.82 |      101.81
256 |            604 |      0.061 |           6 |      0 |      6 |       99.74 |      100.68
259 |          10787 |      0.067 |           2 |      0 |      2 |       99.50 |      100.20
263 |           1960 |      0.061 |           7 |      4 |     11 |       99.01 |      100.10
275 |           4650 |      0.061 |           9 |      1 |     10 |       98.06 |      100.18

Days with Vol Strength ≥ 0.06: 58
Average Missed (with hit): 2.21

==============================================================================================================
SECTION B — Days where Vol Strength never reached 0.06
==============================================================================================================
Day | Vol Max | Missed | Total | PB9_T1 Min | PB9_T1 Max
----|----------|--------|--------|-------------|-------------
  1 |    0.045 |      7 |      7 |       99.67 |      100.78
  2 |    0.055 |      6 |      6 |       99.35 |      100.37
  3 |    0.023 |      3 |      3 |       99.27 |      100.00
  5 |    0.038 |      6 |      6 |       99.37 |      100.24
  6 |    0.060 |     12 |     12 |       98.91 |      100.59
  7 |    0.046 |     10 |     10 |       99.87 |      100.99
  8 |    0.017 |      1 |      1 |       99.76 |      100.08
  9 |    0.046 |      4 |      4 |       99.45 |      100.20
 11 |    0.029 |      2 |      2 |      100.00 |      100.54
 12 |    0.033 |      5 |      5 |       99.51 |      100.38
 13 |    0.035 |      5 |      5 |       99.77 |      101.17
 14 |    0.041 |      5 |      5 |       99.08 |      100.12
 15 |    0.035 |      3 |      3 |      100.00 |      100.91
 16 |    0.027 |      1 |      1 |       99.82 |      100.34
 18 |    0.034 |      7 |      7 |       98.92 |      100.14
 19 |    0.039 |      9 |      9 |       98.26 |      100.00
 21 |    0.032 |      4 |      4 |       99.45 |      100.44
 23 |    0.029 |      2 |      2 |       99.28 |      100.07
 24 |    0.050 |      6 |      6 |       99.98 |      101.05
 25 |    0.057 |     10 |     10 |       99.09 |      100.80
 26 |    0.024 |      2 |      2 |       99.95 |      100.33
 27 |    0.023 |      1 |      1 |       99.83 |      100.30
 28 |    0.042 |      4 |      4 |       99.29 |      100.13
 30 |    0.049 |      6 |      6 |       99.54 |      100.78
 32 |    0.033 |      0 |      0 |       99.94 |      100.24
 33 |    0.050 |      3 |      3 |       99.79 |      100.72
 34 |    0.026 |      3 |      3 |       99.72 |      100.51
 35 |    0.057 |      3 |      3 |       99.74 |      100.37
 36 |    0.023 |      2 |      2 |       99.38 |      100.05
 37 |    0.036 |      3 |      3 |       99.76 |      100.32
 39 |    0.031 |      2 |      2 |       99.43 |      100.05
 40 |    0.052 |      7 |      7 |       99.76 |      100.87
 41 |    0.040 |      4 |      4 |       99.32 |      100.26
 42 |    0.046 |      6 |      6 |       98.85 |      100.00
 43 |    0.044 |      7 |      7 |       98.86 |      100.58
 44 |    0.033 |      4 |      4 |       99.72 |      100.39
 45 |    0.044 |      5 |      5 |      100.00 |      100.63
 46 |    0.039 |      2 |      2 |       99.63 |      100.20
 47 |    0.029 |      3 |      3 |       99.07 |      100.02
 48 |    0.043 |      3 |      3 |       99.83 |      100.48
 49 |    0.041 |      3 |      3 |       98.84 |      100.02
 50 |    0.049 |      9 |      9 |       99.92 |      102.13
 51 |    0.030 |      2 |      2 |       99.85 |      100.52
 52 |    0.021 |      2 |      2 |       99.94 |      100.49
 53 |    0.036 |      4 |      4 |       99.91 |      100.67
 54 |    0.053 |      6 |      6 |       99.96 |      100.92
 55 |    0.021 |      2 |      2 |       99.97 |      100.34
 56 |    0.057 |     11 |     11 |       99.07 |      100.49
 59 |    0.037 |      2 |      2 |       99.78 |      100.42
 60 |    0.025 |      2 |      2 |       99.79 |      100.26
 62 |    0.050 |      3 |      3 |       99.14 |      100.26
 63 |    0.034 |      5 |      5 |       99.95 |      101.06
 64 |    0.044 |      3 |      3 |       99.63 |      100.18
 65 |    0.031 |      1 |      1 |       99.98 |      100.48
 66 |    0.026 |      1 |      1 |       99.87 |      100.25
 67 |    0.041 |      3 |      3 |       99.80 |      100.86
 69 |    0.055 |      5 |      5 |       99.92 |      100.95
 70 |    0.027 |      4 |      4 |       99.71 |      100.24
 71 |    0.022 |      1 |      1 |       99.90 |      100.48
 73 |    0.031 |      3 |      3 |       99.83 |      100.86
 74 |    0.044 |      4 |      4 |       99.80 |      100.42
 75 |    0.046 |      2 |      2 |       99.66 |      100.24
 76 |    0.046 |      4 |      4 |       99.73 |      101.09
 77 |    0.040 |      7 |      7 |       99.79 |      101.22
 78 |    0.048 |      7 |      7 |       99.23 |      100.41
 79 |    0.041 |      4 |      4 |       98.96 |      100.11
 80 |    0.021 |      2 |      2 |       99.87 |      100.23
 81 |    0.029 |      1 |      1 |       99.52 |      100.04
 82 |    0.055 |      7 |      7 |       99.59 |      100.54
 83 |    0.035 |      4 |      4 |       99.92 |      100.53
 84 |    0.038 |      5 |      5 |       99.88 |      100.78
 85 |    0.045 |      7 |      7 |       99.42 |      100.95
 86 |    0.026 |      3 |      3 |       99.23 |      100.09
 87 |    0.025 |      2 |      2 |       99.76 |      100.38
 88 |    0.034 |      3 |      3 |       99.78 |      101.02
 90 |    0.043 |      6 |      6 |       99.60 |      100.94
 91 |    0.049 |      9 |      9 |       99.19 |      100.42
 92 |    0.054 |      6 |      6 |       99.83 |      101.17
 93 |    0.040 |      3 |      3 |       99.84 |      100.37
 94 |    0.035 |      2 |      2 |       99.76 |      100.44
 96 |    0.027 |      2 |      2 |       99.75 |      100.19
 97 |    0.025 |      2 |      2 |       99.63 |      100.17
 99 |    0.042 |      3 |      3 |       99.41 |      100.01
100 |    0.024 |      1 |      1 |       99.78 |      100.24
101 |    0.036 |      1 |      1 |       99.87 |      100.36
102 |    0.040 |      4 |      4 |       99.43 |      100.00
